algo,instance,n,m,chi_true,seed,k_used,violations,gap_true,gap_dsatur,runtime_s
aco,anna,138,493,11,0.0,75,0,64,64,223.106
aco,anna,138,493,11,1.0,73,0,62,62,223.05
aco,anna,138,493,11,2.0,74,0,63,63,223.2991
aco,anna,138,493,11,3.0,74,0,63,63,222.0625
aco,anna,138,493,11,4.0,73,0,62,62,223.4382
aco,anna,138,493,11,5.0,72,0,61,61,221.81
aco,anna,138,493,11,6.0,73,0,62,62,221.7339
aco,anna,138,493,11,7.0,74,0,63,63,221.8082
aco,anna,138,493,11,8.0,75,0,64,64,222.6188
aco,anna,138,493,11,9.0,74,0,63,63,221.2958
dsatur,anna,138,493,11,,11,0,0,0,0.0066
ga,anna,138,493,11,0.0,43,0,32,32,3.7364
ga,anna,138,493,11,1.0,43,0,32,32,3.7418
ga,anna,138,493,11,2.0,43,0,32,32,3.7776
ga,anna,138,493,11,3.0,41,0,30,30,3.7623
ga,anna,138,493,11,4.0,45,0,34,34,3.7678
ga,anna,138,493,11,5.0,43,0,32,32,3.784
ga,anna,138,493,11,6.0,43,0,32,32,3.779
ga,anna,138,493,11,7.0,43,0,32,32,3.7527
ga,anna,138,493,11,8.0,45,0,34,34,3.7577
ga,anna,138,493,11,9.0,43,0,32,32,3.7649
gae,anna,138,493,11,0.0,45,0,34,34,3.9972
gae,anna,138,493,11,1.0,46,0,35,35,4.0103
gae,anna,138,493,11,2.0,45,0,34,34,3.9634
gae,anna,138,493,11,3.0,41,0,30,30,3.9597
gae,anna,138,493,11,4.0,43,0,32,32,3.9648
gae,anna,138,493,11,5.0,47,0,36,36,3.9717
gae,anna,138,493,11,6.0,47,0,36,36,3.9623
gae,anna,138,493,11,7.0,40,0,29,29,3.979
gae,anna,138,493,11,8.0,44,0,33,33,3.9679
gae,anna,138,493,11,9.0,44,0,33,33,3.9817
hybrid_aco_sa,anna,138,493,11,0.0,21,0,10,10,8.5997
hybrid_aco_sa,anna,138,493,11,1.0,24,0,13,13,8.6425
hybrid_aco_sa,anna,138,493,11,2.0,21,0,10,10,8.5937
hybrid_aco_sa,anna,138,493,11,3.0,23,0,12,12,8.6267
hybrid_aco_sa,anna,138,493,11,4.0,22,0,11,11,8.6562
hybrid_aco_sa,anna,138,493,11,5.0,22,0,11,11,8.641
hybrid_aco_sa,anna,138,493,11,6.0,21,0,10,10,8.6102
hybrid_aco_sa,anna,138,493,11,7.0,24,0,13,13,8.6145
hybrid_aco_sa,anna,138,493,11,8.0,23,0,12,12,8.6132
hybrid_aco_sa,anna,138,493,11,9.0,23,0,12,12,8.6062
hybrid_ga_sa,anna,138,493,11,0.0,15,0,4,4,273.7289
hybrid_ga_sa,anna,138,493,11,1.0,15,0,4,4,269.8272
hybrid_ga_sa,anna,138,493,11,2.0,16,0,5,5,269.7248
hybrid_ga_sa,anna,138,493,11,3.0,16,0,5,5,269.7141
hybrid_ga_sa,anna,138,493,11,4.0,15,0,4,4,269.6475
hybrid_ga_sa,anna,138,493,11,5.0,16,0,5,5,269.27
hybrid_ga_sa,anna,138,493,11,6.0,15,0,4,4,270.0872
hybrid_ga_sa,anna,138,493,11,7.0,15,0,4,4,269.787
hybrid_ga_sa,anna,138,493,11,8.0,16,0,5,5,270.3586
hybrid_ga_sa,anna,138,493,11,9.0,15,0,4,4,269.5225
sa,anna,138,493,11,0.0,42,0,31,31,1.2898
sa,anna,138,493,11,1.0,46,0,35,35,1.2909
sa,anna,138,493,11,2.0,40,0,29,29,1.297
sa,anna,138,493,11,3.0,44,0,33,33,1.296
sa,anna,138,493,11,4.0,43,0,32,32,1.2964
sa,anna,138,493,11,5.0,43,0,32,32,1.2842
sa,anna,138,493,11,6.0,43,0,32,32,1.2838
sa,anna,138,493,11,7.0,45,0,34,34,1.2774
sa,anna,138,493,11,8.0,47,0,36,36,1.2821
sa,anna,138,493,11,9.0,41,0,30,30,1.2909
aco,jean,80,254,10,0.0,22,0,12,12,118.6592
aco,jean,80,254,10,1.0,19,0,9,9,118.5817
aco,jean,80,254,10,2.0,25,0,15,15,118.2239
aco,jean,80,254,10,3.0,21,0,11,11,118.3581
aco,jean,80,254,10,4.0,21,0,11,11,118.0711
aco,jean,80,254,10,5.0,21,0,11,11,117.7356
aco,jean,80,254,10,6.0,19,0,9,9,117.6652
aco,jean,80,254,10,7.0,21,0,11,11,117.9672
aco,jean,80,254,10,8.0,21,0,11,11,118.2082
aco,jean,80,254,10,9.0,20,0,10,10,118.1769
dsatur,jean,80,254,10,,10,0,0,0,0.0027
ga,jean,80,254,10,0.0,24,0,14,14,2.186
ga,jean,80,254,10,1.0,21,0,11,11,2.1992
ga,jean,80,254,10,2.0,24,0,14,14,2.2023
ga,jean,80,254,10,3.0,24,0,14,14,2.2076
ga,jean,80,254,10,4.0,19,0,9,9,2.2138
ga,jean,80,254,10,5.0,22,0,12,12,2.2033
ga,jean,80,254,10,6.0,21,0,11,11,2.2004
ga,jean,80,254,10,7.0,24,0,14,14,2.2091
ga,jean,80,254,10,8.0,22,0,12,12,2.2151
ga,jean,80,254,10,9.0,22,0,12,12,2.2164
gae,jean,80,254,10,0.0,22,0,12,12,2.324
gae,jean,80,254,10,1.0,22,0,12,12,2.3263
gae,jean,80,254,10,2.0,22,0,12,12,2.3296
gae,jean,80,254,10,3.0,24,0,14,14,2.2982
gae,jean,80,254,10,4.0,23,0,13,13,2.3109
gae,jean,80,254,10,5.0,20,0,10,10,2.3251
gae,jean,80,254,10,6.0,23,0,13,13,2.3113
gae,jean,80,254,10,7.0,22,0,12,12,2.3137
gae,jean,80,254,10,8.0,22,0,12,12,2.3236
gae,jean,80,254,10,9.0,23,0,13,13,2.3239
hybrid_aco_sa,jean,80,254,10,0.0,14,0,4,4,4.5426
hybrid_aco_sa,jean,80,254,10,1.0,15,0,5,5,4.5653
hybrid_aco_sa,jean,80,254,10,2.0,13,0,3,3,4.5555
hybrid_aco_sa,jean,80,254,10,3.0,14,0,4,4,4.5443
