algo,n,varied_param,param_value,rep,k_used,dsatur_k,gap,runtime_s
sa,40,gamma,0.9,0,16,10,6,4.4433
sa,40,gamma,0.9,1,16,8,8,4.1231
sa,40,gamma,0.9,2,17,9,8,4.3228
sa,40,gamma,0.9,3,17,10,7,4.6545
sa,40,gamma,0.9,4,16,10,6,4.1014
sa,40,gamma,0.9,5,17,9,8,4.2986
sa,40,gamma,0.9,6,18,10,8,4.5674
sa,40,gamma,0.9,7,17,10,7,4.6010
sa,40,gamma,0.9,8,17,9,8,4.2357
sa,40,gamma,0.9,9,17,9,8,4.7459
sa,50,gamma,0.9,0,23,11,12,6.5422
sa,50,gamma,0.9,1,23,11,12,6.5002
sa,50,gamma,0.9,2,21,12,9,6.3395
sa,50,gamma,0.9,3,21,11,10,7.1964
sa,50,gamma,0.9,4,21,10,11,6.0537
sa,50,gamma,0.9,5,23,10,13,6.3381
sa,50,gamma,0.9,6,21,10,11,6.1558
sa,50,gamma,0.9,7,21,11,10,6.4230
sa,50,gamma,0.9,8,21,11,10,6.2146
sa,50,gamma,0.9,9,21,11,10,6.1946
sa,60,gamma,0.9,0,26,12,14,8.5937
sa,60,gamma,0.9,1,27,12,15,8.4158
sa,60,gamma,0.9,2,25,13,12,8.4809
sa,60,gamma,0.9,3,24,13,11,8.8013
sa,60,gamma,0.9,4,27,12,15,8.3932
sa,60,gamma,0.9,5,27,13,14,9.0276
sa,60,gamma,0.9,6,24,14,10,8.8546
sa,60,gamma,0.9,7,25,14,11,8.8224
sa,60,gamma,0.9,8,26,13,13,8.6359
sa,60,gamma,0.9,9,26,13,13,8.6772
sa,40,gamma,0.95,0,17,10,7,4.1794
sa,40,gamma,0.95,1,16,8,8,3.9886
sa,40,gamma,0.95,2,17,9,8,4.0737
sa,40,gamma,0.95,3,19,10,9,4.1441
sa,40,gamma,0.95,4,17,10,7,4.0821
sa,40,gamma,0.95,5,18,9,9,4.1868
sa,40,gamma,0.95,6,17,10,7,4.1709
sa,40,gamma,0.95,7,18,10,8,4.3563
sa,40,gamma,0.95,8,14,9,5,3.9213
sa,40,gamma,0.95,9,17,9,8,4.1967
sa,50,gamma,0.95,0,22,11,11,6.1716
sa,50,gamma,0.95,1,22,11,11,5.9244
sa,50,gamma,0.95,2,22,12,10,6.1770
sa,50,gamma,0.95,3,24,11,13,6.2449
sa,50,gamma,0.95,4,20,10,10,6.0455
sa,50,gamma,0.95,5,24,10,14,6.3225
sa,50,gamma,0.95,6,22,10,12,6.1640
sa,50,gamma,0.95,7,21,11,10,6.4354
sa,50,gamma,0.95,8,22,11,11,6.1812
sa,50,gamma,0.95,9,22,11,11,6.1428
sa,60,gamma,0.95,0,28,12,16,8.6029
sa,60,gamma,0.95,1,27,12,15,8.4830
sa,60,gamma,0.95,2,27,13,14,8.5062
sa,60,gamma,0.95,3,24,13,11,8.8693
sa,60,gamma,0.95,4,24,12,12,8.4159
sa,60,gamma,0.95,5,26,13,13,9.0122
sa,60,gamma,0.95,6,26,14,12,8.8361
sa,60,gamma,0.95,7,24,14,10,8.8220
sa,60,gamma,0.95,8,24,13,11,8.6463
sa,60,gamma,0.95,9,24,13,11,8.6138
sa,40,gamma,0.99,0,18,10,8,4.2457
sa,40,gamma,0.99,1,17,8,9,3.9736
sa,40,gamma,0.99,2,15,9,6,4.0823
sa,40,gamma,0.99,3,16,10,6,4.1262
sa,40,gamma,0.99,4,18,10,8,4.0755
sa,40,gamma,0.99,5,18,9,9,4.1864
sa,40,gamma,0.99,6,18,10,8,4.1702
sa,40,gamma,0.99,7,17,10,7,4.2979
sa,40,gamma,0.99,8,17,9,8,3.9857
sa,40,gamma,0.99,9,17,9,8,4.2077
sa,50,gamma,0.99,0,24,11,13,6.2444
sa,50,gamma,0.99,1,22,11,11,5.9303
sa,50,gamma,0.99,2,22,12,10,6.0832
sa,50,gamma,0.99,3,24,11,13,6.2275
sa,50,gamma,0.99,4,20,10,10,6.0438
sa,50,gamma,0.99,5,21,10,11,6.3211
sa,50,gamma,0.99,6,22,10,12,6.2262
sa,50,gamma,0.99,7,20,11,9,6.5259
sa,50,gamma,0.99,8,20,11,9,6.1823
sa,50,gamma,0.99,9,21,11,10,6.1571
sa,60,gamma,0.99,0,28,12,16,8.6124
sa,60,gamma,0.99,1,24,12,12,8.3950
sa,60,gamma,0.99,2,24,13,11,8.4925
sa,60,gamma,0.99,3,27,13,14,8.8100
sa,60,gamma,0.99,4,26,12,14,8.4074
sa,60,gamma,0.99,5,28,13,15,8.9639
sa,60,gamma,0.99,6,26,14,12,8.8089
sa,60,gamma,0.99,7,25,14,11,8.8232
